name,district
Allen M. Chastanet,Micoud South 
Alva R. Baptiste,Laborie
Dominic Francis Fedee,Anse La Raye/Canaries
Dr. Gale T C Rigobert,Micoud North
Dr. Kenny D. Anthony,Vieux Fort South
Edmund Estephane,Dennery South
Ernest Hilaire,Castries South
Ezechiel Joseph,Babonneau 
Guy Eardley Joseph,Castries South East
Herold A. Stanislas,Soufriere
John Bradley Felix,Choiseul
Lenard Montoute,Gros Islet
Moses Jn Baptiste,Vieux Fort North
Phillip J. Pierre,Castries East
Sarah Flood Beaubrun,Castries Central 
Shawn Andrey Edward,Dennery North
Stephenson King,Castries North
