item,name,enLabel,district,gender,dob,dobPrecision,source,psid
Q16203640,Allen M. Chastanet,Allen Chastanet,Micoud South,male,1960-11-20T00:00:00Z,11,http://www.govt.lc/house-of-assembly,Q16203640-AD8D67B4-3741-4BE2-ABB5-ED9D2987C6C6
Q4737616,Alva R. Baptiste,Alva Baptiste,Laborie,male,,,http://www.govt.lc/house-of-assembly,Q4737616-AE0B2F89-0B81-48D3-A79E-5E0524430DD4
Q24851870,Dominic Francis Fedee,Dominic Fedee,Anse La Raye/Canaries,male,,,http://www.govt.lc/house-of-assembly,Q24851870-CF04CA8C-30C7-4322-A153-6AC2A7017FF4
Q5518285,Dr. Gale T C Rigobert,Gale Rigobert,Micoud North,female,1950-01-01T00:00:00Z,7,http://www.govt.lc/house-of-assembly,Q5518285-637814E8-2854-42E2-BBDC-503703A7E4AF
Q57750,Dr. Kenny D. Anthony,Kenny Anthony,Vieux Fort South,male,1951-01-08T00:00:00Z,11,http://www.govt.lc/house-of-assembly,Q57750-536663CA-F542-40A7-B0C8-630E7D974335
Q16198927,Edmund Estephane,Edmund Estephane,Dennery South,male,1968-01-01T00:00:00Z,9,,Q16198927-412F7D9B-ACAA-41FF-A816-08E17D7356DB
Q105139716,Ernest Hilaire,Ernest Hilaire,Castries South,male,,,,Q105139716-D2EFCEBC-13F5-49AC-BE6C-294FBDB951FD
Q773795,Ezechiel Joseph,Ezechiel Joseph,Babonneau,male,,,,Q773795-EB2AF1B9-0D63-4C41-9F42-F90D514DCC92
Q5622382,Guy Eardley Joseph,Guy Joseph,Castries South East,male,1957-01-01T00:00:00Z,9,http://www.govt.lc/house-of-assembly,Q5622382-2D756D3C-F7EB-4539-831B-14F2E9C1C582
Q107486426,Herold A. Stanislas,Herold Stanislas,Soufriere,,,,http://www.govt.lc/house-of-assembly,Q107486426-C965E9AA-DD2E-4A1D-8B47-CF2A7A3DB3AA
Q107486429,John Bradley Felix,Bradley Felix,Choiseul,,,,http://www.govt.lc/house-of-assembly,Q107486429-D63B6165-FE50-4E5D-B03A-BDA56BA31879
Q6522265,Lenard Montoute,Lenard Montoute,Gros Islet,male,1962-06-30T00:00:00Z,11,,Q6522265-B71AA96F-0515-4FED-97AB-52EB288C0586
Q6915830,Moses Jn Baptiste,Moses Jean Baptiste,Vieux Fort North,male,,,http://www.govt.lc/house-of-assembly,Q6915830-129ED702-224A-4BCB-AAFD-0E5B2346553E
Q7184214,Phillip J. Pierre,Philip Pierre,Castries East,male,,,http://www.govt.lc/house-of-assembly,Q7184214-8869E86B-E345-47E3-9C05-D3D3A49BA18B
Q16201615,Sarah Flood Beaubrun,Sarah Flood-Beaubrun,Castries Central,female,1969-01-08T00:00:00Z,11,http://www.govt.lc/house-of-assembly,Q16201615-EDCD00F3-6F0F-4A21-AA4D-F13347D61BE3
Q107486433,Shawn Andrey Edward,Shawn Edward,Dennery North,,,,http://www.govt.lc/house-of-assembly,Q107486433-85B40157-AAE1-463D-9A79-564341406C47
Q708289,Stephenson King,Stephenson King,Castries North,male,1958-11-13T00:00:00Z,11,,Q708289-46C32004-A354-4C44-B5E5-4F9750634673
